Edge,Count
34184,28
34146,25
34153,25
34255,25
34284,31
34296,30
34340,30
34477,14
75966,17
34610,23
32139,2
32150,9
12502,2
12836,2
13035,4
40296,1
40297,1
39163,1
36232,1
36050,1
33624,3
33649,3
33656,3
33691,3
33710,3
33823,3
76216,3
34009,3
19338,9
19336,9
18359,10
2894,1
28579,3
28589,3
29133,8
29188,8
29211,5
29230,6
29231,6
29176,3
28750,3
28709,3
28696,8
28739,7
29130,5
47550,6
47744,6
47858,6
47881,6
48055,6
47964,6
48676,6
68066,3
76120,3
3451,5
2778,1
2132,3
2133,3
1993,3
1936,3
23993,8
23965,8
23947,8
23963,8
24005,16
24076,15
24616,14
14169,5
30458,16
30542,9
23549,1
24079,1
24766,1
11333,4
11360,1
11384,1
11386,1
11904,1
7355,9
7275,10
7239,14
31331,7
31546,10
31916,10
32205,9
32636,9
32679,10
32689,10
32749,8
32846,8
32732,5
32727,5
32699,5
32694,1
32794,1
32861,1
32918,4
33070,1
33417,2
33460,1
33517,1
33603,10
33626,15
33866,15
3784,4
4034,4
4357,4
4529,4
4784,4
4783,4
4708,4
4893,4
5069,4
5252,4
5267,4
5303,4
5653,4
76157,4
76161,4
29425,2
3719,2
3527,2
3360,1
3093,1
76188,10
30916,8
16624,11
11478,1
11260,1
11299,4
11300,4
11152,4
10895,4
10793,4
10706,4
10914,4
10997,4
12086,4
12752,4
12812,4
12865,4
13444,4
13731,4
21201,1
21408,1
21567,2
21651,1
21711,1
21917,1
22216,1
29208,1
29385,3
30336,3
30352,3
30562,3
30886,3
75937,8
21905,1
1871,3
2595,5
2693,3
2907,3
3249,3
3589,3
3764,3
10294,5
10289,5
56312,1
56385,1
56474,1
56562,1
56660,1
56772,1
56871,1
56981,1
26475,6
10843,1
10849,1
16891,18
16968,18
17038,18
17037,18
17009,18
31548,21
31534,20
31498,20
31492,20
31098,20
13063,1
2097,4
2095,3
2092,1
1607,3
1534,3
1428,3
1424,3
1270,5
76153,5
1252,5
1271,4
1312,3
1315,3
1274,3
1219,3
1149,3
1048,3
758,3
27571,5
27136,3
26804,2
14782,11
18813,20
22214,6
34608,9
52790,1
52791,1
31623,1
31630,1
31754,4
31898,4
25997,8
26248,8
26950,9
27585,9
75818,15
16735,10
16757,11
17276,11
17558,18
18107,11
30489,7
30524,3
30556,1
30555,1
30490,5
30460,1
30408,5
24718,14
25167,13
24757,13
24691,14
24133,16
13913,11
32319,2
32336,2
33014,1
23732,11
23776,13
23893,16
23900,16
23902,16
23827,16
23832,14
23835,17
24145,14
24532,6
75489,2
8971,2
8950,2
75478,2
8994,19
22801,18
31062,1
30745,1
30718,1
30633,1
30006,1
29968,1
29950,1
29906,2
29635,2
29198,2
29160,1
29117,1
28918,1
28851,1
30001,10
30939,5
28153,2
25962,1
25794,1
12190,25
12199,25
12209,22
67129,3
66692,3
66116,3
76104,3
65535,3
65265,3
8425,9
8473,9
8519,9
35654,10
35655,2
35617,2
35615,2
35607,2
35605,2
35623,2
36024,2
36157,2
36345,2
36433,2
36517,2
36516,2
36514,2
36364,2
36276,2
35933,2
35821,2
35765,2
36081,2
36272,2
36908,2
39170,5
40071,5
41037,5
31986,4
24769,10
23788,12
23772,12
23770,9
31020,1
31021,2
30827,3
30658,3
30584,3
30428,3
30208,3
30042,4
30007,4
29991,4
29983,4
29876,2
29856,2
34134,10
34139,6
34190,6
34193,6
34194,5
34172,5
6124,4
5860,3
5161,3
5116,3
5049,3
4863,3
4756,3
4571,1
4595,1
4649,1
4626,5
4028,1
4221,2
3958,1
3879,1
3830,1
3758,1
75441,1
3734,1
3270,1
3099,1
3030,1
2951,1
32922,5
75933,5
33429,5
33447,6
33558,4
33610,4
33646,4
76210,4
5538,2
30803,7
30652,7
30559,4
30417,4
30284,5
30192,5
30110,3
29953,3
29887,3
29815,4
29809,3
29797,3
29745,3
29698,2
29646,2
29637,2
29619,2
21051,22
18987,34
52206,4
50719,3
43098,4
42836,4
41791,4
41604,2
41068,2
40761,1
35509,1
35315,1
35263,1
34185,7
34174,7
34147,7
33686,6
76211,6
33648,6
33623,8
33500,15
75938,11
33453,15
33424,6
33282,5
575,5
10955,1
10971,1
11421,1
11521,1
11542,1
11660,1
13111,1
13208,1
13255,1
14111,1
14139,1
14174,1
14195,1
14310,1
14317,1
1956,2
1865,2
1867,2
1859,2
1854,2
38714,1
3972,3
4101,3
4102,2
4091,1
2935,1
2904,1
2886,1
28464,3
28801,3
28824,3
28846,3
28868,3
28854,3
29002,3
29068,3
29122,8
29235,1
29387,1
29482,1
29596,1
29840,1
29913,1
29922,1
29978,1
30033,1
8747,1
8713,1
16992,1
26206,1
26237,1
26242,2
26312,2
26511,2
26641,2
26654,5
26233,7
26234,8
26197,7
26152,3
26131,6
56611,5
60092,5
76076,5
60335,5
60351,5
60629,5
28640,13
28661,13
30072,4
49585,7
50227,7
50404,7
50617,7
50682,7
50712,7
51080,7
51081,7
51140,7
7564,7
7237,3
7580,5
25165,1
16133,2
16006,1
15957,1
15924,1
15873,1
76074,1
59904,1
27835,5
27875,6
27438,8
27463,8
27473,8
27485,8
27499,8
27505,8
27503,11
27468,11
27432,11
27372,11
14074,2
14094,2
14167,2
14187,2
14230,2
14262,4
14229,2
13830,2
31105,3
28682,6
28692,6
29444,3
29574,3
29695,4
29769,4
2409,2
2402,2
2308,2
33312,8
33371,8
33397,8
33398,8
24685,10
24758,10
24802,8
24854,8
24877,8
27195,2
15056,18
20058,2
20247,2
20277,2
20278,2
20315,2
20356,2
20357,2
20940,2
20957,4
21677,3
13134,1
13135,1
13132,1
13026,1
12839,1
12786,1
12326,1
11848,1
11742,1
11350,1
10936,1
10378,1
5574,6
5376,7
5313,7
4957,7
4943,6
4740,6
4279,6
2360,6
28809,6
28779,4
16623,7
15537,24
22758,2
21377,2
20828,2
20730,2
1917,5
1885,3
1931,3
16077,4
1472,6
7441,9
26230,10
26227,9
27849,2
27850,3
27672,3
27542,3
30643,2
30657,2
30847,2
31108,2
31277,2
31410,2
31430,2
31684,4
26210,4
3806,2
3359,1
3599,2
3612,2
3841,2
4152,2
4172,2
4191,1
4796,3
26760,8
26854,7
26666,7
75796,7
26693,7
26938,7
27290,7
27387,31
75862,4
30037,12
36438,19
75975,19
35174,19
35110,21
35109,2
75967,2
33908,2
21586,1
21872,1
21873,1
21871,1
21844,1
22064,1
21086,11
20490,11
19928,10
18246,10
17629,10
17455,10
75646,10
17117,10
17255,10
17326,12
43521,8
45167,2
45197,2
45196,2
45180,2
45144,2
45081,2
44911,2
44641,2
34310,11
29654,1
29907,1
29999,1
30124,1
30271,2
30374,1
30558,1
32060,2
7637,1
31113,1
31114,3
30825,1
30807,1
30826,1
29877,1
29824,1
29764,1
29634,1
29601,1
32962,6
75919,6
33064,6
12415,1
12830,1
12829,3
12628,3
12370,3
12128,3
11987,3
15754,3
13064,1
13106,1
13140,1
13150,1
13169,1
13168,1
13070,1
12862,1
68043,1
68057,1
68071,1
68092,1
68103,1
68108,1
68128,1
68140,1
68147,1
68146,1
31988,8
31257,8
31259,8
31199,8
31226,7
34289,2
33628,2
33415,2
33186,8
62701,1
62719,1
63198,1
14014,3
14396,3
14438,3
14456,3
34212,3
23176,25
23192,25
23775,25
24288,15
24304,15
24322,15
24706,15
25044,15
25238,10
25252,10
25540,10
25549,10
21373,8
20391,14
32452,2
32476,2
29132,4
20767,1
11791,15
11757,15
11723,15
11743,17
11758,17
11763,17
11783,17
11799,17
11818,17
11827,17
11839,17
11862,17
11890,17
11906,17
11922,17
11927,17
12235,22
12340,22
12437,25
38071,4
38101,4
38254,4
38568,4
38569,2
38544,2
37746,1
37651,1
36605,1
36398,1
75979,1
35934,1
35891,1
35872,1
36103,1
36102,1
35848,1
34866,1
34665,1
34613,1
76220,1
34907,1
34949,1
35444,1
35533,1
35532,1
35443,1
34978,1
34708,1
75963,1
34144,1
33912,1
33671,1
33661,1
16618,2
16040,2
16035,2
16038,2
16062,2
16165,2
36800,2
75103,1
76238,1
75100,1
13458,4
14023,4
14248,4
14312,4
14635,4
30873,5
30887,5
30917,5
30903,5
30819,5
30725,5
30670,5
34620,2
34248,3
34251,2
34215,2
34171,2
34099,3
34051,3
34013,3
76217,3
33822,3
33712,3
33694,3
33688,2
75949,1
75467,1
5294,1
5271,1
5238,1
5076,1
5044,1
5052,1
