OBJECTID,FID_Select,osm_id,name,ref,type,oneway,bridge,tunnel,maxspeed,Class,ORIG_FID,geometry,Indegree,Outdegree,Degree_unweighted,Farness_unweighted,Farness_weighted,Indegree_norm,Outdegree_norm,Degree_unweighted_norm,Farness_unweighted_norm,Farness_weighted_norm
50,8859,143562783,,,tertiary,0,0,0,60,0,25,POINT (718013.6528869262 3146852.6095327884),4.0,2.0,3.0,5706937.0,68459.0,0.016260162601626018,0.008130081300813009,0.3333333333333333,0.8513204040199116,0.012484273615654188
52,8898,143562848,,,living_street,0,0,0,0,0,26,POINT (718088.5594388535 3146806.955427712),0.0,0.0,1.0,5759511.0,68459.0,0.0,0.0,0.1111111111111111,0.8591630206321053,0.012484273615654188
54,8859,143562783,,,tertiary,0,0,0,60,0,27,POINT (718018.6039424352 3146863.100392701),1.0,0.0,3.0,5759269.0,120791.0,0.0040650406504065045,0.0,0.3333333333333333,0.8591269207876926,0.022027606221365854
56,8918,143562870,,,residential,0,0,0,0,0,28,POINT (718091.8221471263 3146891.7064692676),0.0,0.0,3.0,5811644.0,120791.0,0.0,0.0,0.3333333333333333,0.8669398519906379,0.022027606221365854
57,8918,143562870,,,residential,0,0,0,0,0,29,POINT (718141.0793736 3146902.784854252),0.0,0.0,3.0,5864002.0,120791.0,0.0,0.0,0.3333333333333333,0.8747502472540997,0.022027606221365854
58,8918,143562870,,,residential,0,0,0,0,0,29,POINT (718155.5200081468 3146839.548095286),0.0,0.0,1.0,5916576.0,120791.0,0.0,0.0,0.1111111111111111,0.8825928638662933,0.022027606221365854
62,8859,143562783,,,tertiary,0,0,0,60,0,31,POINT (718049.3332574172 3146923.7141864747),0.0,0.0,3.0,5811610.0,120791.0,0.0,0.0,0.3333333333333333,0.8669347801116708,0.022027606221365854
65,8912,143562864,,,living_street,0,0,0,0,0,33,POINT (718238.4092283137 3146930.153207194),0.0,0.0,3.0,5968921.0,120791.0,0.0,0.0,0.3333333333333333,0.8904013198819147,0.022027606221365854
66,8912,143562864,,,living_street,0,0,0,0,0,33,POINT (718172.4486456327 3146844.1299254484),0.0,0.0,1.0,6021495.0,120791.0,0.0,0.0,0.1111111111111111,0.8982439364941084,0.022027606221365854
68,8919,143562871,,,residential,0,0,0,0,0,34,POINT (718283.1539011244 3146886.447185131),0.0,0.0,1.0,6021495.0,120791.0,0.0,0.0,0.1111111111111111,0.8982439364941084,0.022027606221365854
70,8859,143562783,,,tertiary,0,0,0,60,0,35,POINT (718085.2391924737 3146955.6098070033),0.0,0.0,3.0,5863956.0,120791.0,0.0,0.0,0.3333333333333333,0.874743385300203,0.022027606221365854
71,8902,143562854,,,residential,0,0,0,0,0,36,POINT (718216.9758885177 3146968.2489420623),0.0,0.0,3.0,5916351.0,120791.0,0.0,0.0,0.3333333333333333,0.8825592999613642,0.022027606221365854
75,22690,231741118,,,service,1,0,0,0,0,38,POINT (710803.9608174814 3146971.058815973),0.0,0.0,3.0,5923570.0,16131.0,0.0,0.0,0.3333333333333333,0.8836361792044012,0.0029416704552230927
76,22690,231741118,,,service,1,0,0,0,0,38,POINT (710790.7053384613 3146969.7684479244),0.0,0.0,3.0,5923556.0,16131.0,0.0,0.0,0.3333333333333333,0.8836340907836501,0.0029416704552230927
77,22688,231741115,,,service,0,0,0,0,0,39,POINT (710798.0705956966 3146977.117267454),0.0,0.0,3.0,5871001.0,16131.0,0.0,0.0,0.3333333333333333,0.8757943084567615,0.0029416704552230927
82,22693,232388272,,,footway,0,0,0,0,0,41,POINT (710924.1183761572 3146982.8988106195),0.0,0.0,1.0,5976144.0,16131.0,0.0,0.0,0.1111111111111111,0.8914787958165948,0.0029416704552230927
83,8906,143562858,,,residential,0,0,0,0,0,42,POINT (718252.7609155877 3146993.9454570953),0.0,0.0,3.0,6493460.0,120791.0,0.0,0.0,0.3333333333333333,0.9686483293379855,0.022027606221365854
84,8906,143562858,,,residential,0,0,0,0,0,42,POINT (718267.3664903371 3146948.284149291),0.0,0.0,1.0,6546034.0,120791.0,0.0,0.0,0.1111111111111111,0.9764909459501793,0.022027606221365854
85,8873,143562807,,,residential,0,0,0,0,0,43,POINT (718436.7953303512 3146987.877315065),0.0,0.0,2.0,6545937.0,120791.0,0.0,0.0,0.2222222222222222,0.9764764761778321,0.022027606221365854
86,8873,143562807,,,residential,0,0,0,0,0,43,POINT (718459.6734944927 3146998.7451631874),0.0,0.0,3.0,6598497.0,120791.0,0.0,0.0,0.3333333333333333,0.9843170043692746,0.022027606221365854
87,8882,143562822,,,living_street,0,0,0,0,0,44,POINT (717949.3393998891 3146885.111764943),0.0,0.0,1.0,6021434.0,120791.0,0.0,0.0,0.1111111111111111,0.8982348369465498,0.022027606221365854
88,8882,143562822,,,living_street,0,0,0,0,0,44,POINT (718009.1417924138 3146998.9358122647),0.0,0.0,3.0,5968860.0,120791.0,0.0,0.0,0.3333333333333333,0.8903922203343562,0.022027606221365854
90,8859,143562783,,,tertiary,0,0,0,60,0,45,POINT (718133.6599564599 3146999.1454069614),0.0,0.0,3.0,5916343.0,120791.0,0.0,0.0,0.3333333333333333,0.8825581065780779,0.022027606221365854
92,8869,143562801,,,living_street,0,0,0,0,0,46,POINT (718154.5839361856 3146971.0735052116),0.0,0.0,1.0,5968917.0,120791.0,0.0,0.0,0.1111111111111111,0.8904007231902715,0.022027606221365854
94,8873,143562807,,,residential,0,0,0,0,0,47,POINT (718487.4425438251 3147006.4110325724),0.0,0.0,3.0,6651056.0,120791.0,0.0,0.0,0.3333333333333333,0.9921573833878063,0.022027606221365854
96,8854,143562772,,,living_street,0,0,0,0,0,48,POINT (718496.0489836056 3146996.803317819),0.0,0.0,1.0,6703630.0,120791.0,0.0,0.0,0.1111111111111111,1.0,0.022027606221365854
97,8876,143562811,,,living_street,0,0,0,0,0,49,POINT (718068.6017824039 3147006.776978394),0.0,0.0,3.0,5916441.0,120791.0,0.0,0.0,0.3333333333333333,0.8825727255233359,0.022027606221365854
101,8858,143562781,,,living_street,0,0,0,0,0,51,POINT (717920.3360786494 3146899.109775914),0.0,0.0,1.0,6073802.0,120791.0,0.0,0.0,0.1111111111111111,0.9060467239391196,0.022027606221365854
102,8858,143562781,,,living_street,0,0,0,0,0,51,POINT (717982.7433292568 3147011.462995358),0.0,0.0,3.0,6021228.0,120791.0,0.0,0.0,0.3333333333333333,0.8982041073269259,0.022027606221365854
