Node,Farness_weighted
9473,16131
31036,16131
30773,16131
40540,16131
27000,16131
21784,16131
19520,16131
21364,16131
8572,16131
8332,16131
57271,16131
57272,16131
15960,16131
7930,16131
30140,16131
31054,16131
32548,16131
8316,16131
16192,16131
17718,16131
53158,16131
52740,16131
57226,16131
59840,16131
21514,16131
8752,16131
9086,16131
6748,16131
8854,16131
8856,16131
9292,16131
23533,16131
52342,16131
53131,16131
14072,16131
37053,16131
38814,16131
57225,16131
38787,16131
54204,16131
26020,16131
25552,16131
26021,16131
26260,16131
25468,16131
25554,16131
21516,16131
22524,16131
26025,16131
25558,16131
25210,16131
25474,16131
25631,16131
26038,16131
25635,16131
25482,16131
65806,16131
65733,16131
36184,16131
146640,16131
146518,16131
36986,16131
66082,16131
26050,16131
35697,16131
66047,16131
23029,16131
25346,16131
145117,16131
145118,16131
66112,16131
24961,16131
26371,16131
26375,16131
26513,16131
26058,16131
32778,16131
31102,16131
65908,16131
30142,16131
34093,16131
34087,16131
35698,16131
32818,16131
33462,16131
50833,16131
27018,16131
34330,16131
34329,16131
26291,16131
26284,16131
25381,16131
26062,16131
25339,16131
25386,16131
25049,16131
25341,16131
25336,16131
24962,16131
25335,16131
25379,16131
25412,16131
33790,16131
33759,16131
34763,16131
34634,16131
35089,16131
34238,16131
34088,16131
22020,16131
34822,16131
35447,16131
26078,16131
35448,16131
25037,0
24967,0
25139,0
66964,16131
66280,16131
33847,16131
35156,16131
35445,16131
59850,16131
34268,16131
34772,16131
24907,0
34852,16131
34248,16131
34464,16131
33893,16131
34457,16131
35010,16131
33850,16131
25827,0
25349,0
25812,0
26397,0
9290,0
9289,0
59872,16131
34407,16131
26296,0
26738,0
27072,16131
29401,16131
57432,16131
34889,16131
59750,16131
62776,16131
35696,16131
35311,16131
25149,0
25539,0
145120,16131
26990,0
34709,16131
25542,0
26983,0
66667,16131
66481,16131
25838,0
147264,16131
57440,16131
25235,0
25188,0
34476,16131
66977,16131
66976,16131
24649,0
66836,16131
66754,16131
34701,16131
35094,16131
66604,16131
34635,16131
66980,16131
35314,16131
66686,16131
66945,16131
66482,16131
67244,16131
24790,0
35316,16131
34563,16131
34350,16131
66930,16131
66957,16131
66947,16131
66981,16131
24315,0
66504,16131
65907,16131
65910,16131
66946,16131
49213,16131
48792,16131
67243,16131
142911,16131
142912,16131
66538,16131
34345,16131
34352,16131
66942,16131
39049,16131
40467,16131
66608,16131
66636,16131
66629,16131
66898,16131
24316,0
66889,16131
66926,16131
66689,16131
66711,16131
66840,16131
66884,16131
39060,16131
39025,16131
67021,16131
67010,16131
50275,16131
50113,16131
50278,16131
50649,16131
31224,16131
32874,16131
31170,16131
29416,16131
27142,16131
50370,16131
50540,16131
67004,16131
66656,16131
50844,16131
39442,16131
42559,16131
66700,16131
67075,16131
67072,16131
67080,16131
36835,16131
36836,16131
37001,16131
37398,16131
37675,16131
37623,16131
38295,16131
39142,16131
39075,16131
38290,16131
67108,16131
37553,16131
38112,16131
50839,16131
36842,16131
37916,16131
38078,16131
6747,16131
39193,16131
38187,16131
50110,16131
37998,16131
50830,16131
50109,16131
38072,16131
49247,16131
38307,16131
66972,16131
66991,16131
67223,16131
66996,16131
40436,16131
40426,16131
38200,16131
39165,16131
50857,16131
67230,16131
40386,16131
40570,16131
36848,16131
37790,16131
39223,16131
60562,16131
39331,16131
38352,16131
38001,16131
38736,16131
40053,16131
39938,16131
40169,16131
40048,16131
40267,16131
40156,16131
42517,16131
44628,16131
69125,0
69126,0
69245,0
69246,0
39225,16131
69540,0
69539,0
69677,0
69678,0
38843,16131
39395,16131
39546,16131
39469,16131
36858,16131
37576,16131
39527,16131
39550,16131
17465,16131
27158,16131
138707,0
138708,0
40094,16131
39214,16131
39486,16131
39866,16131
40438,16131
40270,16131
36862,16131
37342,16131
41122,16131
38704,16131
38602,16131
37499,16131
37990,16131
37952,16131
38439,16131
37953,16131
37428,16131
38601,16131
38817,16131
39037,16131
68608,16131
68594,16131
37840,16131
39245,16131
39282,16131
38690,16131
38280,16131
62828,16131
62839,16131
36962,16131
37946,16131
72438,0
72437,0
62790,16131
40144,16131
60764,16131
37810,16131
60776,16131
73004,16131
72950,16131
68584,16131
69314,16131
69307,16131
73457,16131
73426,16131
73544,16131
73480,16131
73599,121279
73442,16131
73649,16131
73516,16131
39242,16131
42442,16131
48781,16131
40744,16131
39040,16131
39092,16131
39780,16131
38155,16131
38530,16131
6083,16131
6084,16131
69298,16131
69670,16131
70356,16131
70344,16131
74483,16131
74476,16131
38333,16131
75104,16131
75102,16131
67898,16131
67890,16131
68002,16131
67982,16131
68238,16131
68222,16131
68460,16131
39524,16131
68450,16131
68698,16131
68689,16131
68844,16131
68826,16131
69024,16131
69008,16131
72076,16131
69267,16131
70783,16131
70751,16131
37250,16131
37616,16131
69649,16131
70000,16131
71224,16131
71192,16131
71702,16131
71598,16131
69985,16131
70333,16131
76140,16131
75100,16131
73336,16131
73400,16131
38156,16131
47604,16131
58455,16131
49560,16131
38174,16131
40006,16131
77792,16131
77791,16131
37950,16131
68422,16131
68676,16131
39015,16131
78515,16131
78493,16131
39388,16131
77795,16131
75094,16131
38120,16131
38603,16131
67889,16131
6751,16131
72020,16131
72486,16131
79194,16131
79187,16131
40360,16131
69254,16131
70744,16131
38374,16131
38865,16131
79734,16131
79727,16131
38638,16131
39323,16131
68086,16131
68070,16131
80108,16131
80049,16131
68350,16131
68338,16131
77801,16131
75086,16131
69652,16131
69625,16131
69996,16131
69987,16131
71870,16131
71861,16131
78480,16131
79902,16131
72562,16131
72452,16131
73192,16131
73376,16131
39771,16131
53112,16131
144759,16131
53142,16131
143946,16131
67907,16131
67908,16131
67888,16131
68052,16131
68311,16131
68555,16131
68551,16131
68733,16131
81502,16131
80966,16131
68714,16131
68879,16131
68870,16131
69263,16131
79711,16131
77700,16131
77696,16131
79720,16131
74670,16131
74668,16131
73447,16131
73019,16131
73246,16131
69247,16131
69601,16131
39967,16131
69977,16131
70969,16131
70966,16131
71497,16131
71461,16131
71851,16131
71844,16131
69959,16131
72700,16131
70954,16131
67606,16131
67605,16131
67656,16131
77690,16131
79512,16131
67740,16131
67636,16131
68860,16131
69061,16131
77688,16131
74434,16131
74436,16131
69054,16131
73395,16131
69953,16131
67798,16131
67738,16131
69926,16131
27374,16131
70878,16131
68044,16131
39398,16131
39343,16131
71449,16131
72670,16131
68548,16131
79357,16131
77684,16131
67582,16131
39465,16131
39532,16131
72890,16131
72880,16131
67581,16131
68040,16131
68539,16131
68706,16131
69048,16131
71422,16131
72280,16131
72276,16131
76942,16131
77682,16131
74622,16131
76936,16131
74603,16131
73323,16131
78634,16131
143375,16131
77678,16131
68032,16131
68538,16131
143260,16131
12762,16131
68020,16131
68334,16131
